id,id_caller,id_receiver,start_date,duration,end_date,id_cellsite
1,36,62,1660408262,1533,1660409795,42
2,38,93,1634744023,1913,1634745936,11
3,43,74,1657053222,2924,1657056146,20
4,47,76,1633428980,3754,1633432734,8
5,50,90,1643625772,3055,1643628827,40
6,7,87,1637528375,2624,1637530999,39
7,34,83,1646201307,1468,1646202775,42
8,30,91,1630161392,2916,1630164308,32
9,26,65,1642886476,1192,1642887668,18
10,26,90,1639290672,382,1639291054,19
11,36,83,1631800352,4063,1631804415,4
12,45,86,1656782962,3092,1656786054,18
13,35,51,1646996760,808,1646997568,18
14,20,80,1660805434,2636,1660808070,2
15,18,78,1646687986,921,1646688907,23
16,50,88,1633674485,2137,1633676622,4
17,5,82,1657531905,564,1657532469,26
18,35,54,1654207341,4837,1654212178,35
19,38,69,1644672901,4901,1644677802,7
20,22,64,1655448292,1416,1655449708,40
21,1,52,1658076819,308,1658077127,48
22,1,63,1642355874,2137,1642358011,18
23,15,51,1644583546,4362,1644587908,42
24,31,66,1648663105,711,1648663816,36
25,19,86,1646330208,4082,1646334290,21
26,16,75,1630199877,4110,1630203987,1
27,16,89,1638114778,1141,1638115919,3
28,29,75,1651787050,2852,1651789902,27
29,38,66,1633190876,997,1633191873,27
30,50,65,1636379700,524,1636380224,31
31,40,86,1637354544,828,1637355372,40
32,39,58,1648259202,4800,1648264002,24
33,21,80,1657749854,4714,1657754568,9
34,39,63,1650014642,3356,1650017998,7
35,23,74,1644105006,4280,1644109286,19
36,3,88,1654425216,4529,1654429745,37
37,49,85,1654522815,2972,1654525787,9
38,7,88,1635599397,890,1635600287,50
39,14,94,1654127621,2141,1654129762,45
40,10,85,1639928519,3333,1639931852,36
41,30,65,1643387955,3127,1643391082,16
42,41,81,1650925174,848,1650926022,29
43,37,63,1656301854,3843,1656305697,26
44,3,58,1641132491,3032,1641135523,38
45,31,98,1652781219,1632,1652782851,23
46,3,86,1638865949,4361,1638870310,22
47,3,94,1632433214,4388,1632437602,38
48,19,55,1631802628,4384,1631807012,19
49,34,66,1645806204,2984,1645809188,50
50,27,92,1632944284,209,1632944493,23
51,14,85,1634179553,872,1634180425,3
52,26,82,1655870026,1559,1655871585,4
53,26,76,1634599608,4405,1634604013,49
54,11,79,1659403739,4554,1659408293,38
55,13,53,1629667646,4833,1629672479,48
56,13,84,1642168611,980,1642169591,2
57,33,72,1636739959,749,1636740708,47
58,41,72,1630246452,4713,1630251165,38
59,43,82,1638966273,469,1638966742,5
60,12,56,1637282419,1462,1637283881,16
61,29,62,1633706190,2163,1633708353,29
62,23,51,1655770376,4160,1655774536,26
63,12,62,1631600498,3969,1631604467,44
64,22,82,1649819650,3055,1649822705,10
65,22,97,1656644342,875,1656645217,45
66,1,60,1655820983,1912,1655822895,31
67,21,53,1630173059,4261,1630177320,29
68,13,65,1647533420,3418,1647536838,39
69,45,65,1653724789,2253,1653727042,50
70,43,88,1660923009,529,1660923538,34
71,1,80,1640646556,4398,1640650954,39
72,21,54,1646766368,2796,1646769164,5
73,16,58,1631001540,724,1631002264,14
74,43,83,1652874792,4398,1652879190,27
75,18,69,1660924186,1810,1660925996,26
76,34,81,1644322925,4268,1644327193,39
77,11,79,1649326560,2818,1649329378,19
78,28,88,1639625361,3446,1639628807,19
79,22,69,1649974181,1470,1649975651,16
80,23,54,1630070717,2019,1630072736,2
81,4,94,1659372142,1056,1659373198,37
82,24,84,1644384567,3231,1644387798,2
83,26,96,1650572482,1403,1650573885,36
84,23,93,1637931348,1490,1637932838,25
85,5,99,1654195362,3806,1654199168,35
86,49,96,1658133272,4613,1658137885,22
87,40,72,1634001620,3166,1634004786,30
88,44,75,1640092764,2331,1640095095,27
89,30,55,1641443231,1838,1641445069,15
90,10,58,1650103276,1230,1650104506,4
91,16,97,1645989312,4509,1645993821,10
92,48,92,1660725613,1283,1660726896,8
93,19,80,1654812726,2280,1654815006,21
94,38,59,1637384555,1738,1637386293,1
95,50,67,1633525607,1672,1633527279,2
96,2,97,1633426315,1582,1633427897,44
